BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz1-node0-4         	100000000	        13.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        88.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        89.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        89.7 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        89.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        88.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        88.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        87.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        87.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        86.0 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node0-4         	20000000	        88.2 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       122 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       125 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       123 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       125 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       123 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       126 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       125 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       124 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       122 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node1-4         	10000000	       125 ns/op	      24 B/op	       3 allocs/op
BenchmarkBlah/simple-sz5-node2-4         	20000000	        87.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node2-4         	20000000	        87.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node2-4         	20000000	        90.6 ns/op	      16 B/op	       2 allocs/op
BenchmarkBlah/simple-sz5-node2-4         	20000000	        87.1 ns/op	      16 B/op	       2 allocs/op
